dataset,entropy_type,size_kb,algorithm,run_id,compress_ms,decompress_ms,input_bytes,compressed_bytes,compression_ratio
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,18,0.422800,0.144900,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,19,0.704100,0.262000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,20,0.436500,0.154700,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,21,0.327100,0.114300,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,22,0.318300,0.113400,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,23,0.445500,0.155600,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,24,0.453900,0.166900,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,25,0.346000,0.114100,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,26,0.472100,0.171900,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,27,0.486200,0.161600,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,28,0.420200,0.118000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,29,0.369900,0.122600,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,30,0.459000,0.115500,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,1,0.476700,0.332800,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,2,0.600100,0.346300,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,3,0.834900,0.538700,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,4,0.496800,0.447000,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,5,0.679600,0.587100,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,6,0.780500,0.607900,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,7,0.789800,0.590300,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,8,1.167800,0.425000,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,9,1.040800,0.508300,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,10,0.689300,0.514000,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,11,0.524300,0.867400,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,12,1.013000,0.441400,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,13,0.686400,0.506000,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,14,1.108400,0.505300,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,15,0.502900,0.489900,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,16,0.857100,0.447600,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,17,0.483600,0.337400,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,18,0.690500,0.510700,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,19,0.976400,0.343000,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,20,0.681900,0.520900,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,21,0.958700,0.390700,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,22,0.582800,0.388900,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,23,1.048500,0.716200,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,24,0.809800,0.564500,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,25,1.199300,0.727400,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,26,0.774200,0.552500,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,27,0.619300,0.484200,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,28,0.459900,0.376300,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,29,0.691100,0.485900,2048,7456,0.274678
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,LZW,30,0.909700,0.467200,2048,7456,0.274678
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,1,1.118500,0.252300,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,2,1.148300,0.377100,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,3,1.184800,0.269700,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,4,1.044200,0.266300,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,5,0.738200,0.244600,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,6,0.758500,0.254800,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,7,0.806200,0.284500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,8,0.689900,0.205900,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,9,0.796300,0.256600,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,10,0.800500,0.280000,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,11,0.985600,0.200500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,12,0.792200,0.254400,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,13,0.581500,0.198200,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,14,0.605700,0.193900,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,15,1.123200,0.253700,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,16,0.988200,0.294500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,17,0.758700,0.261500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,18,0.599900,0.193300,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,19,1.312300,0.345500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,20,0.887200,0.256200,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,21,0.732400,0.240400,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,22,0.674200,0.253200,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,23,0.744300,0.258300,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,24,0.764000,0.261400,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,25,0.981100,0.265300,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,26,0.764600,0.257500,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,27,0.833000,0.270100,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,28,0.773700,0.249900,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,29,0.793900,0.284000,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,Huffman,30,0.803700,0.259100,5120,5183,0.987845
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,1,1.652900,1.291700,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,2,1.251500,0.820500,5120,16728,0.306074
