mean,eps,lower,upper,t_crit,se,n,gamma,entropy_type,size_kb,algorithm,dataset_key
11.765666666666668,1.3421831048585595,10.423483561808109,13.107849771525228,2.045229642132704,0.6562505633641078,30,0.95,HIGH_ENTROPY,100,LZW,HIGH_100KB
23.050856666666665,0.7317604939845609,22.319096172682105,23.782617160651224,2.045229642132704,0.35778891470666496,30,0.95,HIGH_ENTROPY,500,Huffman,HIGH_500KB
64.01090333333333,1.2776597917776544,62.73324354155568,65.28856312511098,2.045229642132704,0.6247023637137145,30,0.95,HIGH_ENTROPY,500,LZW,HIGH_500KB
47.87891333333332,1.071602037194742,46.80731129613858,48.950515370528066,2.045229642132704,0.5239519392439997,30,0.95,HIGH_ENTROPY,1024,Huffman,HIGH_1024KB
160.32362999999998,10.126438717686606,150.19719128231338,170.45006871768658,2.045229642132704,4.951247776326506,30,0.95,HIGH_ENTROPY,1024,LZW,HIGH_1024KB
243.13693666666666,10.29013185742695,232.8468048092397,253.4270685240936,2.045229642132704,5.031284333771297,30,0.95,HIGH_ENTROPY,5120,Huffman,HIGH_5120KB
701.70031,33.372204233331374,668.3281057666686,735.0725142333313,2.045229642132704,16.31709395651622,30,0.95,HIGH_ENTROPY,5120,LZW,HIGH_5120KB
0.15980666666666668,0.019105984211407894,0.1407006824552588,0.17891265087807456,2.045229642132704,0.009341730541067628,30,0.95,LOW_ENTROPY,1,Huffman,LOW__1KB
0.14937666666666666,0.013512861250602496,0.13586380541606416,0.16288952791726916,2.045229642132704,0.006607014181797058,30,0.95,LOW_ENTROPY,1,LZW,LOW__1KB
0.15323666666666666,0.01585038028326254,0.1373862863834041,0.1690870469499292,2.045229642132704,0.007749926930813618,30,0.95,LOW_ENTROPY,2,Huffman,LOW__2KB
0.22737,0.019805444087637396,0.20756455591236259,0.2471754440876374,2.045229642132704,0.009683726306149599,30,0.95,LOW_ENTROPY,2,LZW,LOW__2KB
0.22434666666666672,0.025551362711771223,0.1987953039548955,0.24989802937843794,2.045229642132704,0.012493150981875577,30,0.95,LOW_ENTROPY,5,Huffman,LOW__5KB
0.43428000000000005,0.02668902301460963,0.40759097698539043,0.4609690230146097,2.045229642132704,0.013049401624542817,30,0.95,LOW_ENTROPY,5,LZW,LOW__5KB
0.29396,0.025126337546119867,0.26883366245388013,0.31908633754611987,2.045229642132704,0.012285338051290357,30,0.95,LOW_ENTROPY,10,Huffman,LOW__10KB
0.9225333333333334,0.13874938202170153,0.7837839513116319,1.061282715355035,2.045229642132704,0.06784049045808756,30,0.95,LOW_ENTROPY,10,LZW,LOW__10KB
1.0403866666666668,0.08650211070740796,0.9538845559592588,1.1268887773740748,2.045229642132704,0.042294571194071956,30,0.95,LOW_ENTROPY,50,Huffman,LOW__50KB
